epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
160;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;14.172;23.295;.000;.000
161;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;13.409;24.965;.000;.000
162;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;14.439;25.058;.000;.000
163;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;16.498;27.488;.000;.000
164;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;13.760;26.454;.000;.000
165;7629.625;7629.625;7845.187;7937.988;7832.992;7937.988;92.534;11.929;25.134;.000;.000
166;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;15.071;23.539;.000;.000
167;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;17.740;27.069;.000;.000
168;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;18.441;27.475;.000;.000
169;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;14.708;26.154;.000;.000
170;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;18.328;26.738;.000;.000
171;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;15.721;25.404;.000;.000
172;7629.625;7629.625;7845.187;7937.988;7831.223;7937.988;93.101;15.706;27.553;.000;.000
173;7629.625;7629.625;7845.187;7937.988;7830.223;7937.988;92.596;15.647;28.483;.000;.000
174;7629.625;7629.625;7845.187;7937.988;7829.727;7937.988;92.980;15.620;25.333;.000;.000
175;7629.625;7629.625;7845.187;7937.988;7829.727;7937.988;92.980;16.417;27.655;.000;.000
176;7629.625;7629.625;7834.153;7937.988;7824.303;7937.988;92.083;14.512;27.173;.000;.000
177;7629.625;7629.625;7833.702;7937.988;7823.154;7937.988;91.865;15.571;25.899;.000;.000
178;7629.625;7629.625;7833.702;7937.988;7823.154;7937.988;91.865;14.039;25.773;.000;.000
179;7629.625;7629.625;7833.702;7937.988;7823.040;7937.988;91.949;14.412;25.341;.000;.000
180;7629.625;7629.625;7833.702;7937.988;7823.040;7937.988;91.949;13.620;25.271;.000;.000
181;7629.625;7629.625;7833.702;7937.988;7822.692;7937.988;92.214;14.853;25.965;.000;.000
182;7629.625;7629.625;7833.702;7937.988;7822.692;7937.988;92.214;16.721;26.918;.000;.000
183;7629.625;7629.625;7833.702;7937.988;7822.692;7937.988;92.214;15.377;26.579;.000;.000
184;7629.625;7629.625;7833.702;7937.988;7822.692;7937.988;92.214;14.324;26.313;.000;.000
185;7629.625;7629.625;7833.702;7937.988;7822.333;7937.988;92.500;13.806;27.340;.000;.000
186;7629.625;7629.625;7813.668;7926.953;7816.265;7926.953;91.617;12.338;25.230;.000;.000
187;7629.625;7629.625;7813.668;7926.953;7816.265;7926.953;91.617;14.922;25.406;.000;.000
188;7629.625;7629.625;7813.668;7926.953;7816.265;7926.953;91.617;13.892;25.248;.000;.000
189;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;15.353;26.144;.000;.000
190;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;14.083;27.986;.000;.000
191;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;14.495;27.978;.000;.000
192;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;14.887;26.355;.000;.000
193;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;14.118;30.205;.000;.000
194;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;14.051;25.868;.000;.000
195;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;12.056;26.251;.000;.000
196;7571.955;7571.955;7813.668;7926.953;7810.498;7926.953;105.442;14.586;26.093;.000;.000
197;7571.955;7571.955;7813.668;7926.953;7809.790;7926.953;105.570;15.176;25.805;.000;.000
198;7571.955;7571.955;7813.668;7926.953;7809.790;7926.953;105.570;14.373;25.376;.000;.000
199;7571.955;7571.955;7813.668;7926.953;7809.790;7926.953;105.570;16.113;25.410;.000;.000
